company_id,row_type,investor_id,investor_name,investor_position
1,company_investor,1,Roy  Saadon,Co-founder & CEO
1,company_investor,2,Steve  Fazio,Co-founder & COO
1,company_investor,3,Rami  Kachlon,General Manager
2,company_investor,4,Yuval Rachmilevitz,CEO
3,company_investor,5,Nevo Zory,CEO
2,company_investor,6,Gil Solovey,VP Global Operations
2,company_investor,7,Itay Dromi,VP Human Resources
2,company_investor,8,Oren Drori,VP Product and Customer Success
2,company_investor,9,Nir Oppenheim,VP Research and Development
2,company_investor,10,Yuval Sovinsky,VP Sales & Marketing
3,company_investor,11,Shuki  Azoulay,COO
3,company_investor,12,Roy  Richard,VP Operations
3,company_investor,13,Moshe Benyamini,R&D Manager
4,company_investor,14,Ronen  Angel,Founder & CTO
5,company_investor,15,Sharel Omer,Co-founder & CEO
6,company_investor,16,Roei Mizrahi,Founder
7,company_investor,17,Nir Cohen,Founder
8,company_investor,18,Yaniv Gadish,CEO
9,company_investor,19,Orit  Nadav,Co-Founder
10,company_investor,20,Ilan Dorot,Founder & CEO
11,company_investor,21,Israel Vaserlauf,CEO
12,company_investor,22,Yonatan Henn,CEO
5,company_investor,23,Itamar Rogel,Co-founder & Co-CEO
5,company_investor,24,Ran Margaliot,Co-founder (No longer with the company)
5,company_investor,25,Dana Hermon,COO
7,company_investor,26,Anton Mali,Head of R&D
8,company_investor,27,Marc  Steinberg,Marketing Manager
9,company_investor,28,Meir  Redlich,Co-founder (No longer with the company)
12,company_investor,29,Amir   Fein,Quality Director
13,company_investor,30,Ariel Katz,Founder and CEO
14,company_investor,31,Moshe Barel,Co-founder & CEO
15,company_investor,32,Benny  Levy,CEO
16,company_investor,33,Lior Teitelbaum,CBO at FutuRx
13,company_investor,34,Roni Zidon,VP Business Development
13,company_investor,35,Sivan Luder,VP R&D
14,company_investor,36,Aaron Freimerman,CMO
14,company_investor,37,Shai Revzen,CSO
14,company_investor,38,Benny Shani,CTO
15,company_investor,39,Jacob Kaplan, VP Sales & Marketing
15,company_investor,40,Shemi Prazot,VP Technology (R&D)
17,company_investor,41,Michael  Klahr,CEO & Board Member
18,company_investor,42,Ronit Itach,Marketing & Sales Manager
18,company_investor,43,Amiram Bresler,Owner
19,company_investor,44,Daniel Levy, Co-founder & Principal Scientist
19,company_investor,45,Daniel Gross,Co-founder
19,company_investor,46,Ilya Sutskever,Co-founder & Chief Scientist 
21,company_investor,47,Lidor Zabari,Founder & CEO
21,company_investor,48,Aviram Amit,Co-Founder & BizDev
22,company_investor,49,Doron Herman,CEO & Founder
23,company_investor,50,Zemer Blondheim,Co-founder & CEO
23,company_investor,51,Yair Nativ,Co-founder
24,company_investor,52,Haim Rabinowitch,Founder & CTO
25,company_investor,53,Shachar  Schalka,Co-founder & CEO
25,company_investor,54,Uri Shahak,Founder
25,company_investor,55,Keren  Somekh Marom,Co-founder & COO
25,company_investor,56,Eti Chalak,Head of HR & Operations
26,company_investor,57,Yossi Joe Levi,Co-Founder & CEO
27,company_investor,58,Nir Bengal,Founder & CEO
28,company_investor,59,Allen  Baharaff,President & CEO
29,company_investor,60,John Roujinsky,Founder & President
30,company_investor,61,Yuval Atad,Co-founder & CEO
26,company_investor,62,Jacob Levin,Co-founder (No longer with the company)
27,company_investor,63,Oren Elzam,CTO
27,company_investor,64,Ram Stein,Head of Marketing
28,company_investor,65,Guy  Nehemya,COO
28,company_investor,66,Yohai  Stenzler,Chief Accounting Officer
28,company_investor,67,Tali Gorfine,Chief Medical Officer
28,company_investor,68,Liat Hayardeny ,Chief Scientific Officer 
28,company_investor,69,Joseph Kaspi,Senior CMC Director
29,company_investor,70,Danny Baltuch,VP BD
31,company_investor,71,Eyal Lasker,Co-founder & CEO
32,company_investor,72,Joshua Ulmer,Founder & CEO
35,company_investor,73,Simon Chulsky,Founder & Board Member
36,company_investor,74,Aviv Ov,Founder
38,company_investor,75,michal gonen,Co-founder
33,company_investor,76,Noam Schwartz,Co-founder & CEO
33,company_investor,77,Alon Porat,Co-founder & CPO
33,company_investor,78,Iftach Orr,Co-founder & CTO
33,company_investor,79,Eyal Dykan,Co-founder & President
33,company_investor,80,Nitzan  Tamari,CMO & Chief Strategy Officer
33,company_investor,81,Itai  Brezis,EVP Corporate Development and Strategy
34,company_investor,82,Craig  Costigan,CEO
35,company_investor,83,Guy Bavly,Co-founder & CEO
35,company_investor,84,Assaf Litai,Co-founder & CTO
37,company_investor,85,Tuvia Barlev,"Co-Founder, Chairman & CEO"
