company_id,row_type,cumulativeFunding_year,cumulativeFunding_value
1,cumulativeFunding,2016,2000000
1,cumulativeFunding,2017,2000000
1,cumulativeFunding,2018,19500000
1,cumulativeFunding,2019,19500000
1,cumulativeFunding,2020,39500000
1,cumulativeFunding,2021,39500000
1,cumulativeFunding,2022,99500000
1,cumulativeFunding,2023,99500000
1,cumulativeFunding,2024,99500000
1,cumulativeFunding,2025,99500000
1,cumulativeFunding,,99500000
5,cumulativeFunding,2021,5500000
5,cumulativeFunding,2022,9500000
5,cumulativeFunding,2023,9500000
5,cumulativeFunding,2024,9500000
5,cumulativeFunding,2025,9500000
5,cumulativeFunding,,9500000
14,cumulativeFunding,2022,375000
14,cumulativeFunding,2023,375000
14,cumulativeFunding,2024,5325000
14,cumulativeFunding,2025,5325000
14,cumulativeFunding,,5325000
19,cumulativeFunding,2024,1000000000
19,cumulativeFunding,2025,1000000000
19,cumulativeFunding,,1000000000
21,cumulativeFunding,2019,
21,cumulativeFunding,2020,
21,cumulativeFunding,2021,200000
21,cumulativeFunding,2022,200000
21,cumulativeFunding,2023,200000
21,cumulativeFunding,2024,200000
21,cumulativeFunding,2025,200000
21,cumulativeFunding,,200000
22,cumulativeFunding,2021,2000000
22,cumulativeFunding,2022,2000000
22,cumulativeFunding,2023,2000000
22,cumulativeFunding,2024,2000000
22,cumulativeFunding,2025,2000000
22,cumulativeFunding,,2000000
25,cumulativeFunding,2016,3000000
25,cumulativeFunding,2017,3000000
25,cumulativeFunding,2018,3000000
25,cumulativeFunding,2019,3000000
25,cumulativeFunding,2020,3000000
25,cumulativeFunding,2021,3000000
25,cumulativeFunding,2022,3000000
25,cumulativeFunding,2023,3000000
25,cumulativeFunding,2024,3000000
25,cumulativeFunding,2025,3000000
25,cumulativeFunding,,3000000
26,cumulativeFunding,2018,5500000
26,cumulativeFunding,2019,24000000
26,cumulativeFunding,2020,49000000
26,cumulativeFunding,2021,49000000
26,cumulativeFunding,2022,49000000
26,cumulativeFunding,2023,49000000
26,cumulativeFunding,2024,49000000
26,cumulativeFunding,2025,49000000
26,cumulativeFunding,,49000000
27,cumulativeFunding,2016,5000000
27,cumulativeFunding,2017,5000000
27,cumulativeFunding,2018,7000000
27,cumulativeFunding,2019,7000000
27,cumulativeFunding,2020,7000000
27,cumulativeFunding,2021,7000000
27,cumulativeFunding,2022,7000000
27,cumulativeFunding,2023,7000000
27,cumulativeFunding,2024,7000000
27,cumulativeFunding,2025,7000000
27,cumulativeFunding,,7000000
33,cumulativeFunding,2018,
33,cumulativeFunding,2019,20000000
33,cumulativeFunding,2020,20000000
33,cumulativeFunding,2021,100000000
33,cumulativeFunding,2022,100000000
33,cumulativeFunding,2023,100000000
33,cumulativeFunding,2024,100000000
33,cumulativeFunding,2025,100000000
33,cumulativeFunding,,100000000
34,cumulativeFunding,2001,4000000
34,cumulativeFunding,2002,14000000
34,cumulativeFunding,2003,14000000
34,cumulativeFunding,2004,24000000
34,cumulativeFunding,2005,24000000
35,cumulativeFunding,2015,100000
35,cumulativeFunding,2016,100000
35,cumulativeFunding,2017,100000
35,cumulativeFunding,2018,100000
35,cumulativeFunding,2019,100000
35,cumulativeFunding,2020,100000
35,cumulativeFunding,2021,100000
35,cumulativeFunding,2022,100000
35,cumulativeFunding,2023,100000
35,cumulativeFunding,2024,100000
35,cumulativeFunding,2025,100000
35,cumulativeFunding,,100000
34,cumulativeFunding,2006,24000000
34,cumulativeFunding,2007,24000000
34,cumulativeFunding,2008,24000000
34,cumulativeFunding,2009,24000000
34,cumulativeFunding,2010,24000000
34,cumulativeFunding,2011,24000000
34,cumulativeFunding,2012,24000000
34,cumulativeFunding,2013,24000000
34,cumulativeFunding,2014,24000000
34,cumulativeFunding,2015,24000000
34,cumulativeFunding,2016,24000000
34,cumulativeFunding,2017,24000000
34,cumulativeFunding,2018,24000000
34,cumulativeFunding,2019,24000000
34,cumulativeFunding,2020,24000000
34,cumulativeFunding,2021,24000000
34,cumulativeFunding,2022,24000000
34,cumulativeFunding,2023,24000000
34,cumulativeFunding,2024,24000000
34,cumulativeFunding,2025,24000000
34,cumulativeFunding,,24000000
37,cumulativeFunding,2001,45000000
37,cumulativeFunding,2002,45000000
37,cumulativeFunding,2003,45000000
37,cumulativeFunding,2004,45000000
37,cumulativeFunding,2005,68000000
37,cumulativeFunding,2006,68000000
37,cumulativeFunding,2007,90000000
37,cumulativeFunding,2008,105000000
37,cumulativeFunding,2009,115000000
37,cumulativeFunding,2010,115000000
37,cumulativeFunding,2011,119500000
37,cumulativeFunding,2012,119500000
37,cumulativeFunding,2013,119500000
37,cumulativeFunding,2014,119500000
37,cumulativeFunding,2015,119500000
37,cumulativeFunding,2016,119500000
37,cumulativeFunding,2017,119500000
37,cumulativeFunding,2018,119500000
37,cumulativeFunding,2019,119500000
37,cumulativeFunding,2020,119500000
37,cumulativeFunding,2021,119500000
37,cumulativeFunding,2022,119500000
37,cumulativeFunding,2023,124500000
37,cumulativeFunding,2024,124500000
37,cumulativeFunding,2025,124500000
37,cumulativeFunding,,124500000
40,cumulativeFunding,2004,4000000
40,cumulativeFunding,2005,13000000
40,cumulativeFunding,2006,13000000
40,cumulativeFunding,2007,13000000
40,cumulativeFunding,2008,13000000
40,cumulativeFunding,2009,13000000
40,cumulativeFunding,2010,13000000
40,cumulativeFunding,2011,13000000
40,cumulativeFunding,2012,13000000
40,cumulativeFunding,2013,21000000
40,cumulativeFunding,2014,21000000
40,cumulativeFunding,2015,21000000
40,cumulativeFunding,2016,21000000
40,cumulativeFunding,2017,30600000
40,cumulativeFunding,2018,30600000
40,cumulativeFunding,2019,30600000
40,cumulativeFunding,2020,43990000
40,cumulativeFunding,2021,43990000
40,cumulativeFunding,2022,58990000
40,cumulativeFunding,2023,58990000
40,cumulativeFunding,2024,73990000
40,cumulativeFunding,2025,73990000
40,cumulativeFunding,,73990000
43,cumulativeFunding,2017,50000
43,cumulativeFunding,2018,50000
43,cumulativeFunding,2019,50000
43,cumulativeFunding,2020,50000
43,cumulativeFunding,2021,50000
43,cumulativeFunding,2022,50000
43,cumulativeFunding,2023,50000
43,cumulativeFunding,2024,50000
43,cumulativeFunding,2025,50000
43,cumulativeFunding,,50000
44,cumulativeFunding,2019,
44,cumulativeFunding,2020,2300000
44,cumulativeFunding,2021,2300000
44,cumulativeFunding,2022,2300000
44,cumulativeFunding,2023,3050000
44,cumulativeFunding,2024,3050000
44,cumulativeFunding,2025,3050000
44,cumulativeFunding,,3050000
46,cumulativeFunding,2020,27000
46,cumulativeFunding,2021,64000
46,cumulativeFunding,2022,114000
46,cumulativeFunding,2023,1389000
46,cumulativeFunding,2024,1389000
46,cumulativeFunding,2025,1389000
46,cumulativeFunding,,1389000
48,cumulativeFunding,2017,970000
48,cumulativeFunding,2018,970000
48,cumulativeFunding,2019,1670000
48,cumulativeFunding,2020,8820000
48,cumulativeFunding,2021,13820000
48,cumulativeFunding,2022,13820000
48,cumulativeFunding,2023,22820000
48,cumulativeFunding,2024,22820000
48,cumulativeFunding,2025,22820000
48,cumulativeFunding,,22820000
49,cumulativeFunding,2012,750000
49,cumulativeFunding,2013,750000
49,cumulativeFunding,2014,750000
49,cumulativeFunding,2015,750000
49,cumulativeFunding,2016,1250000
49,cumulativeFunding,2017,1250000
50,cumulativeFunding,2020,
50,cumulativeFunding,2021,714300
50,cumulativeFunding,2022,714300
50,cumulativeFunding,2023,714300
50,cumulativeFunding,2024,714300
50,cumulativeFunding,2025,714300
50,cumulativeFunding,,714300
49,cumulativeFunding,2018,1250000
