company_id,row_type,employeesTrend_year,employeesTrend_value
1,employeesTrend,2016,
1,employeesTrend,2017,
1,employeesTrend,2018,
1,employeesTrend,2019,
1,employeesTrend,2020,59
1,employeesTrend,2021,
1,employeesTrend,2022,138
1,employeesTrend,2023,151
1,employeesTrend,2024,146
1,employeesTrend,2025,
1,employeesTrend,,146
2,employeesTrend,2018,192
2,employeesTrend,2019,203
2,employeesTrend,2020,201
2,employeesTrend,2021,218
2,employeesTrend,2022,243
2,employeesTrend,2023,251
2,employeesTrend,2024,280
2,employeesTrend,2025,
2,employeesTrend,,280
3,employeesTrend,2018,29
3,employeesTrend,2019,23
3,employeesTrend,2020,19
3,employeesTrend,2021,23
3,employeesTrend,2022,25
3,employeesTrend,2023,25
3,employeesTrend,2024,24
3,employeesTrend,2025,
3,employeesTrend,,24
4,employeesTrend,2021,6
5,employeesTrend,2021,13
6,employeesTrend,2023,1
7,employeesTrend,2022,1
8,employeesTrend,2018,16
9,employeesTrend,2019,6
10,employeesTrend,2018,3
11,employeesTrend,2018,30
12,employeesTrend,2020,6
4,employeesTrend,2022,
4,employeesTrend,2023,
4,employeesTrend,2024,
4,employeesTrend,2025,
4,employeesTrend,,6
5,employeesTrend,2022,50
5,employeesTrend,2023,32
5,employeesTrend,2024,20
5,employeesTrend,2025,
5,employeesTrend,,20
6,employeesTrend,2024,1
6,employeesTrend,2025,
6,employeesTrend,,1
7,employeesTrend,2023,2
7,employeesTrend,2024,
7,employeesTrend,2025,
7,employeesTrend,,2
8,employeesTrend,2019,19
8,employeesTrend,2020,20
8,employeesTrend,2021,20
8,employeesTrend,2022,21
8,employeesTrend,2023,25
8,employeesTrend,2024,24
8,employeesTrend,2025,
8,employeesTrend,,24
9,employeesTrend,2020,5
9,employeesTrend,2021,7
9,employeesTrend,2022,
9,employeesTrend,2023,4
9,employeesTrend,2024,4
9,employeesTrend,2025,
9,employeesTrend,,4
10,employeesTrend,2019,3
10,employeesTrend,2020,4
10,employeesTrend,2021,4
10,employeesTrend,2022,4
10,employeesTrend,2023,3
10,employeesTrend,2024,4
10,employeesTrend,2025,
10,employeesTrend,,4
11,employeesTrend,2019,37
11,employeesTrend,2020,
11,employeesTrend,2021,36
11,employeesTrend,2022,21
11,employeesTrend,2023,9
11,employeesTrend,2024,12
11,employeesTrend,2025,
11,employeesTrend,,12
12,employeesTrend,2021,
12,employeesTrend,2022,
12,employeesTrend,2023,
12,employeesTrend,2024,5
12,employeesTrend,2025,
12,employeesTrend,,5
13,employeesTrend,2019,3
13,employeesTrend,2020,4
13,employeesTrend,2021,
13,employeesTrend,2022,
13,employeesTrend,2023,4
13,employeesTrend,2024,3
13,employeesTrend,2025,
13,employeesTrend,,3
14,employeesTrend,2022,6
14,employeesTrend,2023,9
14,employeesTrend,2024,9
14,employeesTrend,2025,
14,employeesTrend,,9
15,employeesTrend,2016,16
15,employeesTrend,2017,19
15,employeesTrend,2018,23
15,employeesTrend,2019,28
15,employeesTrend,2020,32
15,employeesTrend,2021,32
15,employeesTrend,2022,31
15,employeesTrend,2023,34
15,employeesTrend,2024,36
15,employeesTrend,2025,
15,employeesTrend,,36
16,employeesTrend,2020,6
16,employeesTrend,2021,
16,employeesTrend,2022,
16,employeesTrend,2023,
16,employeesTrend,2024,
16,employeesTrend,2025,
16,employeesTrend,,6
17,employeesTrend,2020,1
17,employeesTrend,2021,4
17,employeesTrend,2022,2
17,employeesTrend,2023,2
17,employeesTrend,2024,2
17,employeesTrend,2025,
17,employeesTrend,,2
18,employeesTrend,2016,7
18,employeesTrend,2017,
18,employeesTrend,2018,7
18,employeesTrend,2019,6
18,employeesTrend,2020,6
18,employeesTrend,2021,6
18,employeesTrend,2022,6
18,employeesTrend,2023,8
18,employeesTrend,2024,8
18,employeesTrend,2025,
18,employeesTrend,,8
19,employeesTrend,2024,3
19,employeesTrend,2025,
19,employeesTrend,,3
20,employeesTrend,2024,1
20,employeesTrend,2025,
20,employeesTrend,,1
21,employeesTrend,2019,2
21,employeesTrend,2020,2
21,employeesTrend,2021,2
21,employeesTrend,2022,1
21,employeesTrend,2023,1
21,employeesTrend,2024,1
21,employeesTrend,2025,
21,employeesTrend,,1
22,employeesTrend,2021,8
22,employeesTrend,2022,18
22,employeesTrend,2023,16
22,employeesTrend,2024,20
22,employeesTrend,2025,
22,employeesTrend,,20
23,employeesTrend,2019,4
23,employeesTrend,2020,4
23,employeesTrend,2021,5
23,employeesTrend,2022,
23,employeesTrend,2023,4
23,employeesTrend,2024,4
23,employeesTrend,2025,
23,employeesTrend,,4
24,employeesTrend,2023,5
24,employeesTrend,2024,6
24,employeesTrend,2025,
24,employeesTrend,,6
25,employeesTrend,2016,
25,employeesTrend,2017,
25,employeesTrend,2018,32
25,employeesTrend,2019,44
25,employeesTrend,2020,107
25,employeesTrend,2021,175
25,employeesTrend,2022,273
25,employeesTrend,2023,267
25,employeesTrend,2024,269
25,employeesTrend,2025,
25,employeesTrend,,269
26,employeesTrend,2018,
26,employeesTrend,2019,35
26,employeesTrend,2020,62
26,employeesTrend,2021,92
26,employeesTrend,2022,34
26,employeesTrend,2023,45
26,employeesTrend,2024,37
26,employeesTrend,2025,
26,employeesTrend,,37
27,employeesTrend,2016,
27,employeesTrend,2017,
27,employeesTrend,2018,6
27,employeesTrend,2019,11
27,employeesTrend,2020,
27,employeesTrend,2021,
27,employeesTrend,2022,21
27,employeesTrend,2023,22
27,employeesTrend,2024,19
27,employeesTrend,2025,
27,employeesTrend,,19
28,employeesTrend,2018,25
28,employeesTrend,2019,22
28,employeesTrend,2020,30
28,employeesTrend,2021,29
28,employeesTrend,2022,19
28,employeesTrend,2023,13
28,employeesTrend,2024,11
28,employeesTrend,2025,
28,employeesTrend,,11
29,employeesTrend,2015,14
29,employeesTrend,2016,6
29,employeesTrend,2017,
29,employeesTrend,2018,5
29,employeesTrend,2019,5
29,employeesTrend,2020,3
29,employeesTrend,2021,3
29,employeesTrend,2022,
29,employeesTrend,2023,5
29,employeesTrend,2024,5
29,employeesTrend,2025,
29,employeesTrend,,5
30,employeesTrend,2023,3
30,employeesTrend,2024,
30,employeesTrend,2025,
30,employeesTrend,,3
31,employeesTrend,2024,15
31,employeesTrend,2025,
31,employeesTrend,,15
32,employeesTrend,2024,12
32,employeesTrend,2025,
32,employeesTrend,,12
33,employeesTrend,2018,4
33,employeesTrend,2019,22
33,employeesTrend,2020,75
33,employeesTrend,2021,215
33,employeesTrend,2022,314
33,employeesTrend,2023,297
33,employeesTrend,2024,306
33,employeesTrend,2025,
33,employeesTrend,,306
34,employeesTrend,2001,
34,employeesTrend,2002,
34,employeesTrend,2003,
34,employeesTrend,2004,
34,employeesTrend,2005,
34,employeesTrend,2006,
34,employeesTrend,2007,
34,employeesTrend,2008,
34,employeesTrend,2009,
34,employeesTrend,2010,
34,employeesTrend,2011,
34,employeesTrend,2012,
34,employeesTrend,2013,
34,employeesTrend,2014,
34,employeesTrend,2015,
34,employeesTrend,2016,
34,employeesTrend,2017,
34,employeesTrend,2018,932
34,employeesTrend,2019,1047
34,employeesTrend,2020,1099
34,employeesTrend,2021,1175
34,employeesTrend,2022,1266
34,employeesTrend,2023,1357
34,employeesTrend,2024,1443
34,employeesTrend,2025,
34,employeesTrend,,1443
35,employeesTrend,2015,
35,employeesTrend,2016,
35,employeesTrend,2017,
35,employeesTrend,2018,3
35,employeesTrend,2019,8
35,employeesTrend,2020,11
35,employeesTrend,2021,11
35,employeesTrend,2022,21
35,employeesTrend,2023,23
35,employeesTrend,2024,32
35,employeesTrend,2025,
35,employeesTrend,,32
36,employeesTrend,2021,3
36,employeesTrend,2022,
36,employeesTrend,2023,
36,employeesTrend,2024,4
36,employeesTrend,2025,
36,employeesTrend,,4
37,employeesTrend,2001,
37,employeesTrend,2002,
37,employeesTrend,2003,
37,employeesTrend,2004,
37,employeesTrend,2005,
37,employeesTrend,2006,
37,employeesTrend,2007,
37,employeesTrend,2008,
37,employeesTrend,2009,
37,employeesTrend,2010,
37,employeesTrend,2011,
37,employeesTrend,2012,
37,employeesTrend,2013,
37,employeesTrend,2014,
37,employeesTrend,2015,
37,employeesTrend,2016,112
37,employeesTrend,2017,108
37,employeesTrend,2018,108
37,employeesTrend,2019,101
37,employeesTrend,2020,98
38,employeesTrend,2021,2
38,employeesTrend,2022,2
38,employeesTrend,2023,2
38,employeesTrend,2024,
38,employeesTrend,2025,
38,employeesTrend,,2
37,employeesTrend,2021,94
37,employeesTrend,2022,99
37,employeesTrend,2023,97
37,employeesTrend,2024,92
37,employeesTrend,2025,
37,employeesTrend,,92
39,employeesTrend,2018,73
39,employeesTrend,2019,86
39,employeesTrend,2020,69
39,employeesTrend,2021,60
39,employeesTrend,2022,58
39,employeesTrend,2023,53
39,employeesTrend,2024,54
39,employeesTrend,2025,
39,employeesTrend,,54
40,employeesTrend,2004,
40,employeesTrend,2005,
40,employeesTrend,2006,
40,employeesTrend,2007,
40,employeesTrend,2008,
40,employeesTrend,2009,
40,employeesTrend,2010,
40,employeesTrend,2011,
40,employeesTrend,2012,
40,employeesTrend,2013,
40,employeesTrend,2014,
40,employeesTrend,2015,
40,employeesTrend,2016,
40,employeesTrend,2017,
40,employeesTrend,2018,55
40,employeesTrend,2019,51
40,employeesTrend,2020,45
40,employeesTrend,2021,44
40,employeesTrend,2022,53
40,employeesTrend,2023,70
40,employeesTrend,2024,86
40,employeesTrend,2025,
40,employeesTrend,,86
41,employeesTrend,2019,5
41,employeesTrend,2020,4
41,employeesTrend,2021,
41,employeesTrend,2022,
41,employeesTrend,2023,4
41,employeesTrend,2024,3
41,employeesTrend,2025,
41,employeesTrend,,3
42,employeesTrend,2018,10
42,employeesTrend,2019,8
42,employeesTrend,2020,8
42,employeesTrend,2021,8
42,employeesTrend,2022,14
42,employeesTrend,2023,14
42,employeesTrend,2024,13
42,employeesTrend,2025,
42,employeesTrend,,13
43,employeesTrend,2017,
43,employeesTrend,2018,
43,employeesTrend,2019,
43,employeesTrend,2020,5
43,employeesTrend,2021,7
43,employeesTrend,2022,11
43,employeesTrend,2023,12
43,employeesTrend,2024,15
43,employeesTrend,2025,
43,employeesTrend,,15
44,employeesTrend,2019,4
44,employeesTrend,2020,4
44,employeesTrend,2021,9
44,employeesTrend,2022,9
44,employeesTrend,2023,8
44,employeesTrend,2024,6
44,employeesTrend,2025,
44,employeesTrend,,6
45,employeesTrend,2022,186
45,employeesTrend,2023,171
45,employeesTrend,2024,
45,employeesTrend,2025,
45,employeesTrend,,171
46,employeesTrend,2020,
46,employeesTrend,2021,
46,employeesTrend,2022,2
46,employeesTrend,2023,5
46,employeesTrend,2024,5
46,employeesTrend,2025,
46,employeesTrend,,5
47,employeesTrend,2018,247
47,employeesTrend,2019,242
47,employeesTrend,2020,234
47,employeesTrend,2021,233
47,employeesTrend,2022,257
47,employeesTrend,2023,272
47,employeesTrend,2024,277
47,employeesTrend,2025,
47,employeesTrend,,277
48,employeesTrend,2017,
48,employeesTrend,2018,
48,employeesTrend,2019,8
48,employeesTrend,2020,9
48,employeesTrend,2021,25
48,employeesTrend,2022,
48,employeesTrend,2023,45
48,employeesTrend,2024,60
48,employeesTrend,2025,
48,employeesTrend,,60
49,employeesTrend,2012,
49,employeesTrend,2013,
49,employeesTrend,2014,
49,employeesTrend,2015,
49,employeesTrend,2016,
49,employeesTrend,2017,
49,employeesTrend,2018,
49,employeesTrend,2019,4
49,employeesTrend,2020,5
49,employeesTrend,2021,
49,employeesTrend,2022,
49,employeesTrend,2023,4
49,employeesTrend,2024,4
49,employeesTrend,2025,
49,employeesTrend,,4
50,employeesTrend,2020,6
50,employeesTrend,2021,13
50,employeesTrend,2022,13
50,employeesTrend,2023,9
50,employeesTrend,2024,7
50,employeesTrend,2025,
50,employeesTrend,,7
51,employeesTrend,2024,3
51,employeesTrend,2025,
51,employeesTrend,,3
52,employeesTrend,2018,28
52,employeesTrend,2019,24
52,employeesTrend,2020,15
52,employeesTrend,2021,15
52,employeesTrend,2022,46
52,employeesTrend,2023,37
52,employeesTrend,2024,34
52,employeesTrend,2025,
52,employeesTrend,,34
53,employeesTrend,2019,2
53,employeesTrend,2020,2
53,employeesTrend,2021,2
53,employeesTrend,2022,5
53,employeesTrend,2023,4
53,employeesTrend,2024,5
53,employeesTrend,2025,
53,employeesTrend,,5
54,employeesTrend,2017,
54,employeesTrend,2018,9
54,employeesTrend,2019,10
54,employeesTrend,2020,12
54,employeesTrend,2021,9
54,employeesTrend,2022,
54,employeesTrend,2023,9
54,employeesTrend,2024,13
54,employeesTrend,2025,
54,employeesTrend,,13
55,employeesTrend,2019,7
55,employeesTrend,2020,8
55,employeesTrend,2021,
55,employeesTrend,2022,7
55,employeesTrend,2023,7
55,employeesTrend,2024,7
55,employeesTrend,2025,
55,employeesTrend,,7
56,employeesTrend,2021,2
56,employeesTrend,2022,
56,employeesTrend,2023,2
56,employeesTrend,2024,2
56,employeesTrend,2025,
56,employeesTrend,,2
57,employeesTrend,2019,3
57,employeesTrend,2020,2
57,employeesTrend,2021,2
57,employeesTrend,2022,
57,employeesTrend,2023,
57,employeesTrend,2024,1
57,employeesTrend,2025,
57,employeesTrend,,1
58,employeesTrend,2018,4
58,employeesTrend,2019,12
58,employeesTrend,2020,13
58,employeesTrend,2021,24
58,employeesTrend,2022,
58,employeesTrend,2023,34
58,employeesTrend,2024,26
58,employeesTrend,2025,
58,employeesTrend,,26
59,employeesTrend,2019,5
59,employeesTrend,2020,5
59,employeesTrend,2021,
59,employeesTrend,2022,
59,employeesTrend,2023,24
59,employeesTrend,2024,21
59,employeesTrend,2025,
59,employeesTrend,,21
60,employeesTrend,2018,
60,employeesTrend,2019,
60,employeesTrend,2020,31
60,employeesTrend,2021,
60,employeesTrend,2022,
60,employeesTrend,2023,75
60,employeesTrend,2024,73
60,employeesTrend,2025,
60,employeesTrend,,73
61,employeesTrend,2014,
61,employeesTrend,2015,
61,employeesTrend,2016,
61,employeesTrend,2017,
61,employeesTrend,2018,
61,employeesTrend,2019,
61,employeesTrend,2020,129
61,employeesTrend,2021,
61,employeesTrend,2022,376
61,employeesTrend,2023,401
61,employeesTrend,2024,
